title,link,keyword
"BPOM RI Setujui Nutri-Level, Soroti 73 Persen Warga RI Meninggal Komplikasi Diabetes-Hipertensi",https://health.detik.com/berita-detikhealth/d-8436253/bpom-ri-setujui-nutri-level-soroti-73-persen-warga-ri-meninggal-komplikasi-diabetes-hipertensi,diabetes
"Ancaman Gula Berlebih: Manis Sesaat, Diabetes Sepanjang Hayat",https://20.detik.com/leaders-talk/20251103-251103039/ancaman-gula-berlebih-manis-sesaat-diabetes-sepanjang-hayat,diabetes
Wamenkes Temukan Banyak Pemudik yang Idap Hipertensi-Diabetes,https://health.detik.com/berita-detikhealth/d-8404513/wamenkes-temukan-banyak-pemudik-yang-idap-hipertensi-diabetes,diabetes
"Mengenal Terapi Insulin, Solusi Penderita Diabetes Terhindar Komplikasi",https://www.detik.com/jatim/berita/d-8305817/mengenal-terapi-insulin-solusi-penderita-diabetes-terhindar-komplikasi,diabetes
Kenapa Diabetes Disebut 'Mother of All Diseases'?,https://health.detik.com/diet/d-8338033/kenapa-diabetes-disebut-mother-of-all-diseases,diabetes
10 Buah Rendah Gula yang Aman untuk Diet dan Diabetes,https://food.detik.com/foto-kuliner/d-8154997/10-buah-rendah-gula-yang-aman-untuk-diet-dan-diabetes,diabetes
Golongan Darah Ini Disebut Paling Berisiko Idap Diabetes,https://health.detik.com/berita-detikhealth/d-8326700/golongan-darah-ini-disebut-paling-berisiko-idap-diabetes,diabetes
7 Camilan Aman dan Sehat untuk Pengidap Diabetes,https://health.detik.com/berita-detikhealth/d-8289698/7-camilan-aman-dan-sehat-untuk-pengidap-diabetes,diabetes
"Diabetes Jadi Penyebab Terbanyak Gagal Ginjal, Ini Wanti-wanti Para Dokter",https://health.detik.com/diet/d-8360939/diabetes-jadi-penyebab-terbanyak-gagal-ginjal-ini-wanti-wanti-para-dokter,diabetes
Duh! Menkes 'Sentil' Kebiasaan Warga +62 Pemicu Diabetes,https://health.detik.com/berita-detikhealth/d-8315201/duh-menkes-sentil-kebiasaan-warga-62-pemicu-diabetes,diabetes
Kenapa Penderita Diabetes Harus Diamputasi? Ini Penyebab dan Cara Mencegahnya,https://www.detik.com/jogja/berita/d-8302061/kenapa-penderita-diabetes-harus-diamputasi-ini-penyebab-dan-cara-mencegahnya,diabetes
Inovatif! 2 Siswi SMA Ini Bikin Tempe dari Biji Trembesi untuk Atasi Diabetes,https://www.detik.com/edu/edutainment/d-8394331/inovatif-2-siswi-sma-ini-bikin-tempe-dari-biji-trembesi-untuk-atasi-diabetes,diabetes
"Video: Pria Idap Diabetes Sejak Usia 16 Tahun, Kini Suntik Insulin Tiap Hari",https://health.detik.com/detiktv/d-8387929/video-pria-idap-diabetes-sejak-usia-16-tahun-kini-suntik-insulin-tiap-hari,diabetes
Video: Terbaring di RS Tak Memutus Keinginan Jaja Miharja untuk Terus Berkarya,https://20.detik.com/detikupdate/20250603-250603050/video-terbaring-di-rs-tak-memutus-keinginan-jaja-miharja-untuk-terus-berkarya,diabetes
Kebiasaan Warga Indonesia yang Jadi Pemicu Diabetes,https://www.detik.com/sumut/berita/d-8316443/kebiasaan-warga-indonesia-yang-jadi-pemicu-diabetes,diabetes
Tiap Hari 28 Warga Malaysia Kena Gagal Ginjal dan Harus Cuci Darah,https://health.detik.com/berita-detikhealth/d-8446419/tiap-hari-28-warga-malaysia-kena-gagal-ginjal-dan-harus-cuci-darah,diabetes
Diabetes dan Ancaman Tulang Keropos di Balik Kebiasaan Minum Serba Manis,https://health.detik.com/diet/d-8352148/diabetes-dan-ancaman-tulang-keropos-di-balik-kebiasaan-minum-serba-manis,diabetes
Gula Darah Tetap Stabil! 9 Buah Ini Aman Dikonsumsi Penderita Diabetes,https://food.detik.com/foto-kuliner/d-8114850/gula-darah-tetap-stabil-9-buah-ini-aman-dikonsumsi-penderita-diabetes,diabetes
"Menkes Warning Orang Gemuk, Berpotensi Kena Diabetes hingga Hipertensi",https://health.detik.com/berita-detikhealth/d-8314440/menkes-warning-orang-gemuk-berpotensi-kena-diabetes-hingga-hipertensi,diabetes
"Pemerintah Batasi Medsos untuk Anak, Bisa Cegah Hipertensi-Diabetes?",https://health.detik.com/berita-detikhealth/d-8427679/pemerintah-batasi-medsos-untuk-anak-bisa-cegah-hipertensi-diabetes,diabetes
"Ini Alasan Kebanyakan Gula Bisa Picu Diabetes, Sakit Jantung sampai Gagal Ginjal",https://health.detik.com/berita-detikhealth/d-8358711/ini-alasan-kebanyakan-gula-bisa-picu-diabetes-sakit-jantung-sampai-gagal-ginjal,diabetes
"10 Makanan Penurun Gula Darah, Cocok untuk Pengidap Diabetes",https://health.detik.com/berita-detikhealth/d-8282534/10-makanan-penurun-gula-darah-cocok-untuk-pengidap-diabetes,diabetes
BRIN Temukan Cemaran Obat Diabetes di Air DKI,https://health.detik.com/berita-detikhealth/d-8224230/brin-temukan-cemaran-obat-diabetes-di-air-dki,diabetes
Ancaman Komplikasi Diabetes di Balik Anggapan 'Boleh Gemuk Asal Sehat',https://health.detik.com/diet/d-8335714/ancaman-komplikasi-diabetes-di-balik-anggapan-boleh-gemuk-asal-sehat,diabetes
Diabetes Bisa Sembuh: Kabar Baik atau Hoax?,https://health.detik.com/berita-detikhealth/d-8209283/diabetes-bisa-sembuh-kabar-baik-atau-hoax,diabetes
Anti LEBAR-an setelah Lebaran Bareng Tropicana Slim!,https://20.detik.com/detikupdate/20250424-250424127/anti-lebar-an-setelah-lebaran-bareng-tropicana-slim,diabetes
"Kemenkes 'Upgrade' CKG di 2026, Pengobatan Diabetes-Hipertensi Gratis 15 Hari",https://health.detik.com/berita-detikhealth/d-8321812/kemenkes-upgrade-ckg-di-2026-pengobatan-diabetes-hipertensi-gratis-15-hari,diabetes
"Diabetes Mengintai, Sukabumi Perkuat Layanan Puskesmas",https://www.detik.com/jabar/berita/d-8214464/diabetes-mengintai-sukabumi-perkuat-layanan-puskesmas,diabetes
"Viral Tren 'Blue Matcha', Benarkah Lebih Aman untuk Diabetes?",https://health.detik.com/diet/d-8316886/viral-tren-blue-matcha-benarkah-lebih-aman-untuk-diabetes,diabetes
Foto: Transformasi Meghan Trainor Turun BB 27 Kg Pakai Obat Diabetes,https://wolipop.detik.com/foto-entertainment/d-8087056/foto-transformasi-meghan-trainor-turun-bb-27-kg-pakai-obat-diabetes,diabetes
"Beban Tersembunyi di Balik Diabetes, Saat Keluarga Ikut Berjuang",https://health.detik.com/berita-detikhealth/d-8209290/beban-tersembunyi-di-balik-diabetes-saat-keluarga-ikut-berjuang,diabetes
Hari Diabetes Sedunia 2025: Latar Belakang hingga Tema Tahun Ini,https://news.detik.com/berita/d-8210117/hari-diabetes-sedunia-2025-latar-belakang-hingga-tema-tahun-ini,diabetes
"Suplai Insulin Terhambat, Anak-anak Diabetes di Pengungsian Terancam Koma",https://health.detik.com/berita-detikhealth/d-8272864/suplai-insulin-terhambat-anak-anak-diabetes-di-pengungsian-terancam-koma,diabetes
"Angka Diabetes Melonjak di Turki, Tertinggi se-Eropa",https://news.detik.com/dw/d-8135835/angka-diabetes-melonjak-di-turki-tertinggi-se-eropa,diabetes
Keturunan vs Gaya Hidup: Mana yang Lebih Menentukan Risiko Diabetes?,https://health.detik.com/berita-detikhealth/d-8209297/keturunan-vs-gaya-hidup-mana-yang-lebih-menentukan-risiko-diabetes,diabetes
"WHO Soroti Harga Minuman Manis Murah, Warga Dunia Makin Rentan Kena Diabetes-Kanker",https://health.detik.com/berita-detikhealth/d-8322640/who-soroti-harga-minuman-manis-murah-warga-dunia-makin-rentan-kena-diabetes-kanker,diabetes
"Makan Buah Bikin Diabetes? Salah, Nggak Semua yang Manis Itu Jahat",https://health.detik.com/diet/d-8228778/makan-buah-bikin-diabetes-salah-nggak-semua-yang-manis-itu-jahat,diabetes
Faktor Utama Anak Muda Kena Gagal Ginjal,https://20.detik.com/detik-sore/20250312-250312124/faktor-utama-anak-muda-kena-gagal-ginjal,diabetes
