,title,link,keyword
29,"Mengenal Terapi Insulin, Solusi Penderita Diabetes Terhindar Komplikasi",https://www.detik.com/jatim/berita/d-8305817/mengenal-terapi-insulin-solusi-penderita-diabetes-terhindar-komplikasi,diabetes
30,Kenapa Diabetes Disebut 'Mother of All Diseases'?,https://health.detik.com/diet/d-8338033/kenapa-diabetes-disebut-mother-of-all-diseases,diabetes
31,10 Buah Rendah Gula yang Aman untuk Diet dan Diabetes,https://food.detik.com/foto-kuliner/d-8154997/10-buah-rendah-gula-yang-aman-untuk-diet-dan-diabetes,diabetes
32,Golongan Darah Ini Disebut Paling Berisiko Idap Diabetes,https://health.detik.com/berita-detikhealth/d-8326700/golongan-darah-ini-disebut-paling-berisiko-idap-diabetes,diabetes
33,7 Camilan Aman dan Sehat untuk Pengidap Diabetes,https://health.detik.com/berita-detikhealth/d-8289698/7-camilan-aman-dan-sehat-untuk-pengidap-diabetes,diabetes
34,"Diabetes Jadi Penyebab Terbanyak Gagal Ginjal, Ini Wanti-wanti Para Dokter",https://health.detik.com/diet/d-8360939/diabetes-jadi-penyebab-terbanyak-gagal-ginjal-ini-wanti-wanti-para-dokter,diabetes
35,Duh! Menkes 'Sentil' Kebiasaan Warga +62 Pemicu Diabetes,https://health.detik.com/berita-detikhealth/d-8315201/duh-menkes-sentil-kebiasaan-warga-62-pemicu-diabetes,diabetes
36,Kenapa Penderita Diabetes Harus Diamputasi? Ini Penyebab dan Cara Mencegahnya,https://www.detik.com/jogja/berita/d-8302061/kenapa-penderita-diabetes-harus-diamputasi-ini-penyebab-dan-cara-mencegahnya,diabetes
37,Inovatif! 2 Siswi SMA Ini Bikin Tempe dari Biji Trembesi untuk Atasi Diabetes,https://www.detik.com/edu/edutainment/d-8394331/inovatif-2-siswi-sma-ini-bikin-tempe-dari-biji-trembesi-untuk-atasi-diabetes,diabetes
38,"Video: Pria Idap Diabetes Sejak Usia 16 Tahun, Kini Suntik Insulin Tiap Hari",https://health.detik.com/detiktv/d-8387929/video-pria-idap-diabetes-sejak-usia-16-tahun-kini-suntik-insulin-tiap-hari,diabetes
39,Video: Terbaring di RS Tak Memutus Keinginan Jaja Miharja untuk Terus Berkarya,https://20.detik.com/detikupdate/20250603-250603050/video-terbaring-di-rs-tak-memutus-keinginan-jaja-miharja-untuk-terus-berkarya,diabetes
40,Kebiasaan Warga Indonesia yang Jadi Pemicu Diabetes,https://www.detik.com/sumut/berita/d-8316443/kebiasaan-warga-indonesia-yang-jadi-pemicu-diabetes,diabetes
41,Tiap Hari 28 Warga Malaysia Kena Gagal Ginjal dan Harus Cuci Darah,https://health.detik.com/berita-detikhealth/d-8446419/tiap-hari-28-warga-malaysia-kena-gagal-ginjal-dan-harus-cuci-darah,diabetes
42,Diabetes dan Ancaman Tulang Keropos di Balik Kebiasaan Minum Serba Manis,https://health.detik.com/diet/d-8352148/diabetes-dan-ancaman-tulang-keropos-di-balik-kebiasaan-minum-serba-manis,diabetes
43,Gula Darah Tetap Stabil! 9 Buah Ini Aman Dikonsumsi Penderita Diabetes,https://food.detik.com/foto-kuliner/d-8114850/gula-darah-tetap-stabil-9-buah-ini-aman-dikonsumsi-penderita-diabetes,diabetes
44,"Menkes Warning Orang Gemuk, Berpotensi Kena Diabetes hingga Hipertensi",https://health.detik.com/berita-detikhealth/d-8314440/menkes-warning-orang-gemuk-berpotensi-kena-diabetes-hingga-hipertensi,diabetes
